;season;name;log_marketvalue;log_prev_marketvalue;height_cm;age;position;foot;appearances;assists;goals;in_squad;minutes_played;owngoals;penalty;pointspermatch;red;secondyellow;sub_off;sub_on;yellow;marketvalue;prev_marketvalue
8;19/20;Aaron Cresswell;15.58195221920804;15.789591583986283;170.0;30;Defender;left;25.0;0.0;3.0;26.0;2205.0;0.0;0.0;1.2766666666666666;0.0;0.0;2.0;0.0;7.0;5850000.0;7200000.0
9;18/19;Aaron Cresswell;16.012735135300492;16.012735135300492;170.0;29;Defender;left;22.0;2.0;0.0;30.0;1769.0;0.0;0.0;2.15;0.0;0.0;2.0;2.0;1.0;9000000.0;9000000.0
10;17/18;Aaron Cresswell;16.195056692094447;16.195056692094447;170.0;28;Defender;left;39.0;7.0;1.0;42.0;3317.0;0.0;0.0;0.8799999999999999;0.0;0.0;6.0;1.0;7.0;10800000.0;10800000.0
11;16/17;Aaron Cresswell;16.195056692094447;16.195056692094447;170.0;27;Defender;left;29.0;2.0;0.0;30.0;2344.0;0.0;0.0;0.9366666666666666;0.0;1.0;4.0;2.0;2.0;10800000.0;10800000.0
12;19/20;Aaron Lennon;14.585618779660347;14.808762330974558;165.0;33;Forward;right;19.0;1.0;0.0;29.0;734.0;0.0;0.0;0.9366666666666666;0.0;0.0;2.0;12.0;4.0;2160000.0;2700000.0
13;18/19;Aaron Lennon;15.319587954740548;15.319587954740548;165.0;32;Forward;right;22.0;1.0;1.0;23.0;1563.0;0.0;0.0;1.125;0.0;0.0;7.0;4.0;2.0;4500000.0;4500000.0
14;17/18;Aaron Lennon;15.319587954740548;15.319587954740548;165.0;31;Forward;right;33.0;4.0;0.0;34.0;2113.0;0.0;0.0;1.0399999999999998;0.0;0.0;16.0;9.0;2.0;4500000.0;4500000.0
15;16/17;Aaron Lennon;15.319587954740548;15.501909511534503;165.0;30;Forward;right;13.0;1.0;1.0;24.0;667.0;0.0;0.0;1.4300000000000002;0.0;0.0;6.0;5.0;0.0;4500000.0;5400000.0
16;19/20;Aaron Leya Iseka;14.403297222866392;14.626440774180603;182.0;22;Forward;right;23.0;0.0;2.0;27.0;855.0;0.0;1.0;1.635;0.0;0.0;4.0;16.0;2.0;1800000.0;2250000.0
17;18/19;Aaron Leya Iseka;14.808762330974558;14.808762330974558;182.0;21;Forward;right;32.0;0.0;6.0;37.0;1672.0;0.0;0.0;1.0133333333333334;1.0;0.0;6.0;15.0;2.0;2700000.0;2700000.0
18;17/18;Aaron Leya Iseka;14.498607402670718;14.626440774180603;182.0;20;Forward;right;32.0;1.0;9.0;44.0;1917.0;0.0;1.0;0.952;0.0;0.0;3.0;13.0;4.0;1980000.0;2250000.0
19;16/17;Aaron Leya Iseka;13.933293593620657;14.115615150414612;182.0;19;Forward;right;9.0;2.0;0.0;16.0;332.0;0.0;0.0;0.75;0.0;0.0;3.0;6.0;1.0;1125000.0;1350000.0
20;19/20;Aaron Mooy;15.961441840912943;16.195056692094447;179.0;29;Midfielder;right;24.0;1.0;2.0;29.0;1839.0;0.0;0.0;1.3033333333333335;0.0;1.0;7.0;2.0;0.0;8550000.0;10800000.0
21;18/19;Aaron Mooy;16.349207371921707;16.349207371921707;179.0;28;Midfielder;right;30.0;1.0;3.0;30.0;2348.0;0.0;1.0;0.26;0.0;0.0;1.0;5.0;4.0;12600000.0;12600000.0
22;17/18;Aaron Mooy;16.012735135300492;15.907374619642667;179.0;27;Midfielder;right;38.0;4.0;4.0;38.0;3207.0;0.0;1.0;1.3133333333333332;0.0;0.0;5.0;3.0;4.0;9000000.0;8100000.0
23;16/17;Aaron Mooy;15.319587954740548;13.710150042306449;179.0;26;Midfielder;right;51.0;10.0;4.0;51.0;4295.0;0.0;1.0;1.7650000000000001;0.0;0.0;1.0;5.0;6.0;4500000.0;900000.0
28;19/20;Aaron Ramsey;17.04235455248165;17.26549810379586;182.0;29;Midfielder;both;24.0;1.0;4.0;30.0;1097.0;0.0;0.0;1.75;0.0;0.0;11.0;12.0;1.0;25200000.0;31500000.0
29;18/19;Aaron Ramsey;17.399029496420383;17.399029496420383;182.0;28;Midfielder;both;40.0;8.0;6.0;44.0;2171.0;0.0;1.0;1.93;0.0;0.0;13.0;16.0;0.0;36000000.0;36000000.0
30;17/18;Aaron Ramsey;17.516812532076766;17.399029496420383;182.0;27;Midfielder;both;32.0;12.0;11.0;32.0;2466.0;0.0;0.0;1.72;0.0;0.0;6.0;4.0;2.0;40500000.0;36000000.0
31;16/17;Aaron Ramsey;17.26549810379586;17.26549810379586;182.0;26;Midfielder;both;32.0;5.0;4.0;33.0;2016.0;0.0;0.0;1.71;0.0;0.0;6.0;10.0;3.0;31500000.0;31500000.0
40;19/20;Aarón Martín;16.061525299469924;16.275099399767985;178.0;23;Defender;left;19.0;0.0;0.0;24.0;1576.0;0.0;0.0;0.5;0.0;0.0;3.0;1.0;0.0;9450000.0;11700000.0
41;18/19;Aarón Martín;16.70588231586044;16.48273876454623;178.0;22;Defender;left;34.0;5.0;0.0;36.0;2999.0;0.0;0.0;2.15;0.0;0.0;2.0;1.0;3.0;18000000.0;14400000.0
42;17/18;Aarón Martín;16.195056692094447;16.70588231586044;178.0;21;Defender;left;35.0;0.0;0.0;43.0;2993.0;0.0;0.0;1.32;0.0;0.0;2.0;2.0;7.0;10800000.0;18000000.0
43;16/17;Aarón Martín;16.012735135300492;15.501909511534503;178.0;20;Defender;left;36.0;0.0;0.0;40.0;3090.0;0.0;0.0;0.8666666666666667;0.0;0.0;0.0;3.0;6.0;9000000.0;5400000.0
48;19/20;Abdallah Ndour;12.965709567358951;13.199324418540456;186.0;26;Defender;left;12.0;1.0;0.0;24.0;837.0;0.0;0.0;2.2925;1.0;1.0;2.0;3.0;0.0;427500.0;540000.0
49;18/19;Abdallah Ndour;13.199324418540456;13.199324418540456;186.0;25;Defender;left;6.0;1.0;0.0;21.0;490.0;0.0;0.0;1.5;0.0;0.0;4.0;0.0;0.0;540000.0;540000.0
50;17/18;Abdallah Ndour;13.199324418540456;13.199324418540456;186.0;24;Defender;left;5.0;0.0;0.0;5.0;252.0;0.0;0.0;0.6;1.0;0.0;0.0;2.0;2.0;540000.0;540000.0
51;16/17;Abdallah Ndour;13.199324418540456;13.017002861746503;186.0;23;Defender;left;36.0;2.0;1.0;36.0;2990.0;0.0;0.0;2.0833333333333335;0.0;0.0;2.0;3.0;7.0;540000.0;450000.0
52;19/20;Abdelhamid Sabiri;14.240778293368619;14.498607402670718;186.0;23;Midfielder;right;18.0;1.0;3.0;23.0;885.0;0.0;1.0;0.355;0.0;0.0;2.0;10.0;4.0;1530000.0;1980000.0
53;18/19;Abdelhamid Sabiri;14.115615150414612;14.115615150414612;186.0;22;Midfielder;right;3.0;0.0;0.0;3.0;93.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1350000.0;1350000.0
54;17/18;Abdelhamid Sabiri;13.710150042306449;13.710150042306449;186.0;21;Midfielder;right;10.0;1.0;0.0;18.0;505.0;0.0;0.0;0.7166666666666667;0.0;0.0;3.0;5.0;1.0;900000.0;900000.0
55;16/17;Abdelhamid Sabiri;12.793859310432293;12.323855681186558;186.0;20;Midfielder;right;30.0;6.0;17.0;30.0;2289.0;1.0;2.0;1.15;0.0;0.0;8.0;4.0;6.0;360000.0;225000.0
56;19/20;Abdou Diallo;17.04235455248165;17.26549810379586;187.0;24;Defender;left;22.0;1.0;0.0;31.0;1582.0;0.0;0.0;2.888;0.0;0.0;4.0;4.0;4.0;25200000.0;31500000.0
57;18/19;Abdou Diallo;17.26549810379586;17.20665760377293;187.0;23;Defender;left;38.0;1.0;1.0;38.0;3257.0;0.0;0.0;1.9766666666666666;1.0;0.0;4.0;1.0;2.0;31500000.0;29700000.0
58;17/18;Abdou Diallo;16.195056692094447;16.012735135300492;187.0;22;Defender;left;30.0;1.0;3.0;30.0;2686.0;0.0;0.0;1.575;0.0;0.0;1.0;0.0;5.0;10800000.0;9000000.0
59;16/17;Abdou Diallo;13.710150042306449;13.710150042306449;187.0;21;Defender;left;11.0;1.0;0.0;37.0;951.0;0.0;0.0;1.9625;0.0;0.0;1.0;2.0;1.0;900000.0;900000.0
64;19/20;Abdoulaye Bamba;14.403297222866392;14.626440774180603;182.0;30;Defender;right;10.0;1.0;0.0;19.0;853.0;0.0;0.0;0.75;0.0;0.0;0.0;1.0;2.0;1800000.0;2250000.0
65;18/19;Abdoulaye Bamba;14.808762330974558;14.626440774180603;182.0;29;Defender;right;30.0;4.0;0.0;35.0;2574.0;0.0;0.0;1.33;0.0;0.0;2.0;1.0;6.0;2700000.0;2250000.0
66;17/18;Abdoulaye Bamba;13.710150042306449;13.710150042306449;182.0;28;Defender;right;21.0;0.0;0.0;30.0;1803.0;0.0;0.0;1.26;0.0;0.0;1.0;1.0;2.0;900000.0;900000.0
67;16/17;Abdoulaye Bamba;13.710150042306449;13.487006490992238;182.0;27;Defender;right;12.0;2.0;0.0;13.0;791.0;1.0;0.0;2.5;0.0;0.0;1.0;3.0;3.0;900000.0;720000.0
